car_type,year,price,km,prediccion,color
BMW Serie 1,2021.0,19490.0,85977.0,neutral,tan
Audi A1,2017.0,16490.0,48836.0,neutral,red
BMW Z4,2022.0,40790.0,54486.0,neutral,blue
BMW Serie 1,2020.0,21590.0,61215.0,neutral,grey
BMW Serie 1,2022.0,23990.0,93881.0,neutral,grey
Audi Q7,2019.0,57690.0,78975.0,neutral,tan
Audi Q2,2023.0,26990.0,51810.0,neutral,blue
BMW Serie 1,2022.0,21990.0,79319.0,neutral,blue
Audi Q3,2021.0,31690.0,34100.0,neutral,blue
BMW X2,2019.0,21590.0,79900.0,neutral,blue
BMW Serie 2,2024.0,36990.0,29816.0,neutral,grey
Audi Q5,2020.0,28990.0,102000.0,neutral,red
BMW Serie 1,2021.0,20490.0,100890.0,neutral,tan
BMW X4,2019.0,38990.0,157000.0,neutral,blue
Audi Q2,2022.0,26990.0,25151.0,neutral,grey
Audi A1,2016.0,15490.0,107462.0,neutral,blue
BMW X1,2024.0,43990.0,10981.0,neutral,blue
Audi A3,2019.0,23490.0,46917.0,neutral,white
BMW X3,2024.0,53990.0,12700.0,neutral,black
BMW X2,2018.0,22990.0,105995.0,neutral,black
Audi A3,2021.0,22990.0,112832.0,neutral,white
Audi Q3 Sportback,2021.0,29990.0,100128.0,neutral,black
Audi A3,2023.0,24690.0,18130.0,neutral,grey
BMW X5,2015.0,28490.0,164225.0,neutral,black
BMW Serie 1,2020.0,20990.0,99000.0,neutral,silver
Audi Q2,2019.0,19490.0,79464.0,neutral,grey
Audi Q5,2019.0,32970.0,62104.0,neutral,brown
BMW Serie 1,2022.0,19390.0,70061.0,neutral,white
BMW Serie 1,2022.0,19390.0,68251.0,neutral,white
BMW Serie 1,2021.0,19390.0,72334.0,neutral,white
BMW Serie 1,2017.0,14490.0,103702.0,neutral,silver
BMW Serie 1,2021.0,19390.0,93577.0,neutral,white
BMW X2,2021.0,34970.0,61815.0,neutral,black
BMW X4,2021.0,35990.0,90440.0,neutral,grey
BMW Serie 1,2022.0,19390.0,65001.0,neutral,white
Audi Q3 Sportback,2021.0,34690.0,35955.0,neutral,black
BMW Serie 1,2022.0,19390.0,80507.0,neutral,tan
BMW Serie 1,2022.0,19390.0,79980.0,neutral,white
BMW Serie 1,2022.0,18970.0,74185.0,neutral,tan
BMW Serie 1,2021.0,19390.0,78894.0,neutral,white
